refinery,province,category,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,0.08,0.15,0.175,0.15,0.2,0.114,0.1,0.255,0.255,0.26,0.27,0.27,0.5,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0,0
Bosai Xianfeng import,Chongqing,Other,L-B,Bosai,Other,Imported,0,0,0,0,0,0.015,0.1,0.2,0.2,0.2,0.375,0.375,0.23,0.21,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0
Bosai Wanzhou,Chongqing,Other,L-B,Bosai,Other,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.2,1.2,2.4,2.4,2.9,3.6,3.6,3.6
Shuijiang,Chongqing,Other,H-B,Bosai,Other,Domestic,0,0,0,0,0,0.04,0.16,0.4,0.6,0.72,0,0,0,0,0.244,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.5
Tuoyuan,Chongqing,Other,H-B,SPIC,SPIC,Domestic,0.07,0.08,0.121,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,0.91,0.94,0.9,1.25,2,1.7,2,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2
Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3
Jinjiang Chongzuo import,Guangxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,0,0,0.065,0.514,1.61,1.7,1.5,1.5,1.9,1.9,2,2.2,2.2,2.16,2.3,2.2,2.2,2.2,2.2,2,2,2,2,2,2,2,2
Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0,0,0,0,0,0,0,0,0.45,0.5,0.8,0.7,1,0.95,0.88,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8
Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,0,0,0,0.64,0.933539394,1.8,1.8,2.04,2.04,2.16,2.18,1.8,2.4,2.2,2.352,2.5,2.5,2.5,2,2,2,2,2,2,2,2,2
Fangcheng,Guangxi,Guangxi,L-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,2,2,2,3,3,3,3,4,4,4,4
Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Domestic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0.8,0.8,1.55,1.6,1.6,1.6,1.6,1.6,1.6
Beihai_GIG,Guangxi,Guangxi,L-B,GIG,Other,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.7
Baise Mining,Guangxi,Guangxi,H-B,Baise Mining,Other,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1,1
Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,0.9,1.05,1.11,1.1526,1.18,0.9925,1.02,1.08,1.02,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,0,0,0,0,0,0.24,0.6,0.72,0.72,0.72,0.9,1,1,1,1,1,1,1,1,1,0.8,0.8,0.6,0.5,0.5,0.45,0.45
Xian,Guizhou,Guizhou,H-B,Zengshi Group,Other,Domestic,0,0,0,0,0.1,0.1,0.1,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,0,0,0.2,0.5,0.5,0.5,0.6,0.6,0,0,0,0
Huafei,Guizhou,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,0,0,0,0.1,0,0.04,0.027417219,0.04,0.03,0.12,0.16,0.16,0.16,0.15,0.04,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,0,0,0,0,0,0,0,0.2,0.45,0.45,0.45,0.45,0.5,0.55,0.5,0.5,0.5,0.5,0.8,0.8,0.8,1,1,1,1,1,1
Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,0,0,0,0,0,0,0.05,0.2,0.45,0.75,0.5,0.6,1,1,0.9,1,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Qizheng Chemical Added LT,Guizhou,Guizhou,L-B,Qiya,Qiya,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Kaisheng,Guizhou,Guizhou,H-B,Private,Other,Domestic,0,0.052227,0.172,0.19,0.1914,0.0735,0.057576159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,0,0,0,0,0,0,0,0,0,0,1.6,1.44,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,1.68,2.3,2,1.89,1.273,1.65,1.67,1.9,1.9,1.9,1.9,0.95,1.6,1.6,1.2,1.3,1.4,1.4,1.2,1,1,1,1,0.8,0.8,0.8,0.8
Chalco Zhengzhou import,Henan,Henan,L-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,1.54,1,1,1,0.65,0.6,0.6,0.55,0.55,0.5,0.45,0.45,0.4,0.45,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0,0.7,0.9,1,1,1,1.7,1.7,1.7,1.75,2.05,1.92,1.65,1.65,0.3,0,0,0,0,0,0,0,0,0,0,0,0
Chalco Zhongzhou LT Amt,Henan,Henan,L-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0.2,0.15,0.15,0.2,0.2,0,0,0.2,1.5,2.1,2,1.8,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3
Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,0,0.5,1.3,1.31,1.5,1.593678887,1.532760736,1.95,1.95,1.9,1.7,1.9,1.9,1.9,1.89,1.4,1.3,1.3,1.3,1.3,1,1,1,0.5,0.5,0.5,0.5
Kaiman Import,Henan,Henan,L-B,Jinjiang,Jinjiang,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,0,0.24,0.9,1.203,1.875,1.992098609,1.91595092,2,2.25,2.25,2.45,2.45,2.82,2.63,1.95,2,2,2,2,2,2,2,2,1.5,1.5,1.5,1.5
East Hope Mianchi Added LT,Henan,Henan,L-B,East Hope,East Hope,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0
Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0.175,0.313262,0.35,0.35,0.307669725,0.637471555,0.613104294,0.64,0.72,0.72,0.72,0.5,0.68,0.5,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0
Jingxin,Henan,Henan,H-B,Private,Other,Domestic,0,0.035,0.1,0.09,0.075,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Shenhuo,Henan,Henan,Sintering,Shenhuo,Shenhuo,Domestic,0,0,0,0.05,0.076917431,0.079683944,0.076638037,0.05,0.08,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wanji,Henan,Henan,H-B,Wanji Holdings,Other,Domestic,0,0,0.25,0.5,0.61533945,0.637471555,0.613104294,0.72,0.72,1,1.2,1.05,1.3,1,0.58,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0
Wanji import,Henan,Henan,L-B,Wanji Holdings,Other,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,1,1,1,1,1,1,1,1,1,1,1,1
Weilai,Henan,Henan,H-B,Private,Other,Domestic,0,0.06,0.085,0.1,0.076917431,0.103589128,0.12,0.12,0.09,0.12,0.12,0.12,0.12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yifeng Gongyi (Yulian Xinya),Henan,Henan,H-B,Private,Other,Domestic,0,0,0.05,0.07,0.115376147,0.119525917,0.114957055,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yima Yixiang,Henan,Henan,"H-B, CGA","Jinjiang, Yima Coal Group",Jinjiang,Domestic,0.01,0.081163,0.2,0.3,0.45,0.478103666,0.459828221,0.48,0.3,0.5,0.5,0.5,0.45,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,0,0,0.2,0.3,0.307669725,0.318735777,0.383190184,0.4,0.4,0.4,0.4,0.4,0.45,0.25,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0
Shaoxing,Henan,Henan,H-B,Private,Other,Domestic,0,0.03,0.14,0.2,0.076917431,0.079683944,0.076638037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zhongchao,Henan,Henan,H-B,Private,Other,Domestic,0,0.04204,0.045,0.05,0.023075229,0.023905183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jialu Xianfeng,Hubei,Other,H-B,Private,Other,Domestic,0,0,0,0.05,0.03,0.036,0.096,0.06,0,0.108,0.108,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jinshi,Hubei,Other,H-B,Private,Other,Domestic,0,0,0,0,0,0,0.08,0.05,0.06,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huixiang,Hunan,Other,H-B,Private,Other,Domestic,0,0,0,0.04,0.05,0.06,0.08,0,0.09,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xinwang L-B,Inner Mongolia,Other,L-B,BXG,Other,Imported,0,0,0,0,0,0,0,0,0,0.5,0.2,0,0,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Xinwang H-B,Inner Mongolia,Other,H-B,BXG,Other,Domestic,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datang Tuoketuo Fly Ash,Inner Mongolia,Other,fly ash,Private,Other,Fly ash,0,0,0,0,0,0,0,0,0,0.18,0.18,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
Mengxi Fly Ash,Inner Mongolia,Other,fly ash,Private,Other,Fly ash,0,0,0,0,0,0,0,0,0.05,0.18,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mengxi import,Inner Mongolia,Other,L-B,Private,Other,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.19,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0
Qihui H-B,Inner Mongolia,Other,H-B,Jinguotou,Other,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.3,1.3,1.3,1.8,2,2,2,2
Qihui L-B,Inner Mongolia,Other,L-B,Jinguotou,Other,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5,1,1.2,2,2,2.2,2.7,2.7,2.7,2.7
Jinjiang Lianyungang,Jiangsu,Other,L-B,Jinjiang,Jinjiang,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.2,2,2,2,2,2,2,2
Chalco Lianyungang,Jiangsu,Other,L-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.6,1.9,2.7,3,3,3,3
Chalco Shandong L-B,Shandong,Other,L-B,Chalco,Chalco,Imported,0.9,1.15,1.15,1.15,1.15,1.25,1.25,1.35,1.2,1.5,1.5,1.5,1.5,1.5,2.15,2,2,2,2,2,2,2,2,2,2,2,2
Chalco Shandong sinter,Shandong,Other,Sintering,Chalco,Chalco,Domestic,0.3,0.25,0.3,0.3,0.2,0.2,0.4,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Chalco Shandong sinter import,Shandong,Other,L-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Chiping Xinfa L-B,Shandong,Other,L-B,Xinfa,Xinfa,Imported,0,0.6,1.8,1.8,1.8,1.8,2.4,3.25,3.2,1,1.7,2,2.9,3.1,3.3,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.2,3.2
Chiping Xinfa H-B,Shandong,Other,H-B,Xinfa,Xinfa,Imported,0.3,0.8,0.8,1,1,1.2,0.8,0.8,0.8,2,2,2,2,1.6,1.26,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
Lubei,Shandong,Other,L-B,Lubei Group,Jinjiang,Imported,0,0,0.2,0.2,0.2,0.7,0.7,0.5,0.25,0.25,0.25,0.5,0.9,0.9,0.92,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Nanshan Donghai H-B,Shandong,Other,H-B,Nanshan Group,Nanshan,Imported,0,0,0,0,0,0.38,0.8,0.95,0.95,0.95,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nanshan Donghai L-B,Shandong,Other,L-B,Nanshan Group,Nanshan,Imported,0,0.14,0.25,0.22,0.25,0.39,0.4,0.6,0.66,0.67,0.67,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Bochuang,Shandong,Other,L-B,Chuangxin Group,Other,Imported,0,0,0,0,0,0,0,0,0.1,0.4,0.5,0.45,0.1,0,0.39,0.5,0.8,0.8,1.2,1.2,1.2,1.2,1.2,1.4,1.4,1.4,1.4
Nanhan,Shandong,Other,L-B,Private,Other,Imported,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weiqiao - Binzhou L-B,Shandong,Other,L-B,Weiqiao,Weiqiao,Imported,0,0.6,2.1,1.8,1.8,2.92,3.52,5.2,5.4,3,3,3.6,4,4,3.8,4,4,4,4,4,4,4,4,4,4,4,4
Weiqiao - Binzhou H-B,Shandong,Other,H-B,Weiqiao,Weiqiao,Imported,0,0,0,0,0,0,0,0,0,1,1,1.8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Weiqiao-Wudi-Zhanhua L-B,Shandong,Other,L-B,Weiqiao,Weiqiao,Imported,0,0,0,0,0,0,0,0.3,0.9,3,4.5,4.5,6,7,7.2,8,8.5,9,9,9,9,9,9,9,9,9,9
Weiqiao-Wudi-Zhanhua H-B,Shandong,Other,H-B,Weiqiao,Weiqiao,Imported,0,0,0,0,0,0,0,0,0,0,0.7,1.8,3,2,2.8,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Aokaida,Shanxi,Shanxi,H-B,Aokaida,Other,Domestic,0,0,0,0,0,0.044557196,0.048412073,0.16,0.16,0.16,0.16,0.18,0.18,0.16,0.3,0.16,0.16,0,0,0,0,0,0,0,0,0,0
Chalco Lvliang (Xing),Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,0,0,0,0,0,0,0,0,0,0.5,0.9,1.6,1.9,1.9,1.05,1.3,1.3,1.3,1.3,1.3,1.25,1.25,1.25,1.2,1.2,1.2,1.2
Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,1.5,2.2,2.1,1.98,1.3,1.2,1.3,1.89,2.16,2.16,2.16,1.8,2,2,1.3,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.2,0,0,0,0
Chalco Shanxi import,Shanxi,Shanxi,L-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1
SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Domestic,0,0.351405,0.8,0.7,0.7655,1.5,1.7,1.7,1.7,1.7,2.8,2.7,2.75,2.8,1.8,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SPIC Shanxi import,Shanxi,Shanxi,L-B,SPIC,SPIC,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,1.9,1.9,1.9,1.9,1.9,1.9,1.5,1.5,1.5,1.5,1.5,1.5
Dongxu Tianyuan,Shanxi,Shanxi,H-B,Tianyuan Chemical,Other,Domestic,0,0.03,0.07,0.072,0.02,0.1,0.121030184,0.32,0.16,0.3,0.3,0.28,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0
Dongxu Tianyuan import,Shanxi,Shanxi,L-B,Tianyuan Chemical,Other,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0
East Hope Lingshi,Shanxi,Shanxi,H-B,East Hope,East Hope,Domestic,0,0,0,0,0,0,0,0,0,0,0,0.45,1.8,1.9,1.85,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1
East Hope Lingshi Import,Shanxi,Shanxi,L-B,East Hope,East Hope,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Huaqing,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0,0,0.03,0.044557196,0.048412073,0.08,0.08,0.08,0.08,0.08,0.04,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Qiangjin Aluminium,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.6
Senze,Shanxi,Shanxi,H-B & Sinter (1.2:0.1),Senze,Other,Domestic,0,0,0,0,0.02,0.06,0.2,0.3,0.6,0.6825,0.6825,0.6825,0.8,1.25,1.2,1.2,1.2,1.2,1.2,1,1,1,0.8,0.8,0.8,0.8,0.8
Taixing,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0,0,0.02,0.044557196,0.048412073,0.05,0.05,0.05,0.05,0.08,0.1,0.25,0.35,0.3,0.3,0,0,0,0,0,0,0,0,0,0
Wusheng,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0.1,0.15,0.04,0.1,0.14523622,0.24,0.24,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xinfa - Jiaokou,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,0,0,0.2,0.02,0,0.580944882,0.72,1.8,1.8,1.8,2.4,2.8,2.5,1,1.09,2,2,2,2,2,1.85,1.55,1.6,1.6,1.6,1.6
Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,0,0,0,0,0,0,0,0.2,0.8,1.6,1.8,2.1,2.1,3.03,2.8,2.8,2.8,2.8,2.8,2.8,2.4,2.4,2.4,2.4,2.4,2.4
Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,0,0,0,0.2,0.4,0.823005249,2.04,2.16,2.16,2.16,2.4,2.5,2.5,2.55,2,1.9,1.9,1.9,1.9,1.9,1.7,1.7,1.6,1.6,1.6,1.6
Xingan Chemical import,Shanxi,Shanxi,L-B,Jinjiang,Jinjiang,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4
Yangquan Zhaofeng,Shanxi,Shanxi,H-B (Lime),"Xinfa, Yangquan Coal",Xinfa,Domestic,0,0,0.004,0.3,0.16,0.178228782,0.193648294,0.385,0.66,0.7,0.7,0.7,0.8,0.8,0.4,0.5,0.64,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2
Gangyuan Jiaohua,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0,0,0,0.031190037,0.033888451,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xinghua (Chalco Jiaokou),Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,0,0,0,0,0,0,0,0,0,0,0.2,0.315,0.55,0.9,0.65,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1
Xinghua (Chalco Jiaokou) import,Shanxi,Shanxi,H-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.55,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Tiantong,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusheng,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,0,0,0,0,0,0,0,0,0.16,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5
YMG - Wenshan,Yunnan,Other,H-B,Yunnan Aluminium Companuy,Chalco,Domestic,0,0,0,0,0,0,0.24,0.2,0.6,0.6,0.6,1,0.85,1.45,1.6,1.6,1.6,1.6,1.6,1.4,1.2,1.2,1.2,1.2,1.2,1,1
Guangxi - blending,Guangxi,Guangxi,H-B,spare,spare,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168,0,0,0,0,0,0,0,0,0,0,0,0
Guizhou - blending,Guizhou,Guizhou,H-B,spare,spare,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henan - blending,Henan,Henan,H-B,spare,spare,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0
Shanxi - blending,Shanxi,Shanxi,H-B,spare,spare,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0
Other - blending,Other,Other,H-B,spare,spare,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
