,snapshot_id,model_id,output_set,output_lebel,outrow,output_value,override_value,actual_value,output_id
0,2,5,51,index,0,0,,,122
1,2,5,51,Name,0,Chalco Boffa,,,84
2,2,5,51,Year,0,2014,,,95
3,2,5,51,51,0,0.0,,,112
4968,2,5,467,index,0,0,,,122
4969,2,5,467,Name,0,Chalco Boffa,,,84
4970,2,5,467,Year,0,2014,,,95
4971,2,5,467,467,0,33.0,,,146
9936,2,5,542,index,0,0,,,122
9937,2,5,542,Year,0,2014,,,95
9938,2,5,542,542,0,Metro BH1 Xinfa,,,108
13662,2,5,121 And 1723,level_0,0,0,,,78
13663,2,5,121 And 1723,index,0,Identified Supply,,,122
13664,2,5,121 And 1723,Year,0,2014,,,95
13665,2,5,121 And 1723,121 And 1723,0,14.017216528999999,,,134
13734,2,5,709,index,0,0,,,122
13735,2,5,709,Name,0,Chalco Boffa,,,84
13736,2,5,709,Year,0,2014,,,95
13737,2,5,709,709,0,10.0,,,118
18702,2,5,1709 & 25,index,0,0,,,122
18703,2,5,1709 & 25,Years,0,Pure Demand,,,101
18704,2,5,1709 & 25,Year,0,2014,,,95
18705,2,5,1709 & 25,1709 & 25,0,14.85,,,135
18806,2,5,1711,index,0,0,,,122
18807,2,5,1711,Years,0,Total Demand,,,101
18808,2,5,1711,Year,0,2014,,,95
18809,2,5,1711,1711,0,13.948394684078648,,,116
18910,2,5,864,index,0,0,,,122
18911,2,5,864,Name,0,Chalco Boffa,,,84
18912,2,5,864,Year,0,2014,,,95
18913,2,5,864,864,0,0.0,,,109
23878,2,5,937,index,0,0,,,122
23879,2,5,937,Name,0,Chalco Boffa,,,84
23880,2,5,937,Year,0,2014,,,95
23881,2,5,937,937,0,0.0,,,98
28846,2,5,1012,index,0,0,,,122
28847,2,5,1012,Name,0,Chalco Boffa,,,84
28848,2,5,1012,Year,0,2014,,,95
28849,2,5,1012,1012,0,0.0,,,85
33814,2,5,1088,index,0,0,,,122
33815,2,5,1088,Name,0,Chalco Boffa,,,84
33816,2,5,1088,Year,0,2014,,,95
33817,2,5,1088,1088,0,0.0,,,111
38782,2,5,1165 And Who Ia At Margin R10,index,0,0,,,122
38783,2,5,1165 And Who Ia At Margin R10,Rank,0,0,,,149
38784,2,5,1165 And Who Ia At Margin R10,Year,0,2014,,,95
38785,2,5,1165 And Who Ia At Margin R10,1165 And Who Ia At Margin R10,0,0.0,,,99
43750,2,5,1818,index,0,0,,,122
43751,2,5,1818,Name,0,cbixforecast,,,84
43752,2,5,1818,Year,0,2014,,,95
43753,2,5,1818,1818,0,0,,,106
43858,2,5,1688,index,0,0,,,122
43859,2,5,1688,Years,0,Pure Demand,,,101
43860,2,5,1688,Year,0,2014,,,95
43861,2,5,1688,1688,0,0.0,,,94
43962,2,5,1689,index,0,0,,,122
43963,2,5,1689,Years,0,Stock Building Demand - do this every year,,,101
43964,2,5,1689,Year,0,2014,,,95
43965,2,5,1689,1689,0,0.0,,,80
44070,2,5,1690,index,0,0,,,122
44071,2,5,1690,Years,0,Total Demand,,,101
44072,2,5,1690,Year,0,2014,,,95
44073,2,5,1690,1690,0,0.0,,,119
44278,2,5,1733Output,index,0,0,,,122
44279,2,5,1733Output,Years,0,Closing Stocks,,,101
44280,2,5,1733Output,Year,0,2014,,,95
44281,2,5,1733Output,1733Output,0,14.85,,,113
44386,2,5,1732,index,0,0,,,122
44387,2,5,1732,Years,0,Opening Stocks,,,101
44388,2,5,1732,Year,0,2014,,,95
44389,2,5,1732,1732,0,12.756716984207667,,,96
44494,2,5,1732-1733,index,0,0,,,122
44495,2,5,1732-1733,Years,0,Difference between opening and closing stocks,,,101
44496,2,5,1732-1733,Year,0,2014,,,95
44497,2,5,1732-1733,1732-1733,0,-2.0932830157923323,,,128
44602,2,5,1755,index,0,0,,,122
44603,2,5,1755,Years,0,Close,,,101
44604,2,5,1755,Year,0,2014,,,95
44605,2,5,1755,1755,0,0.0,,,87
44710,2,5,1756,index,0,0,,,122
44711,2,5,1756,Years,0,Close,,,101
44712,2,5,1756,Year,0,2014,,,95
44713,2,5,1756,1756,0,0.0,,,117
44818,2,5,1757,index,0,0,,,122
44819,2,5,1757,Years,0,Change,,,101
44820,2,5,1757,Year,0,2014,,,95
44821,2,5,1757,1757,0,0.0,,,114
44926,2,5,1798-1802,level_0,0,0,,,78
44927,2,5,1798-1802,index,0,Africa,,,122
44928,2,5,1798-1802,Year,0,2014,,,95
44929,2,5,1798-1802,1798-1802,0,0.0,,,123
45466,2,5,1810,index,0,0,,,122
45467,2,5,1810,Years,0,China Stockpile,,,101
45468,2,5,1810,Year,0,2014,,,95
45469,2,5,1810,1810,0,0.0,,,97
45574,2,5,Who Is At Margin,index,0,0,,,122
45575,2,5,Who Is At Margin,Name,0,Chalco Boffa,,,84
45576,2,5,Who Is At Margin,Year,0,2014,,,95
45577,2,5,Who Is At Margin,Who Is At Margin,0,0.0,,,124
50542,2,5,254,index,0,0,,,122
50543,2,5,254,Name,0,Chalco Boffa,,,84
50544,2,5,254,Year,0,2014,,,95
50545,2,5,254,254,0,0.0,,,86
55510,2,5,J9 Lbt,index,0,0,,,122
55511,2,5,J9 Lbt,Rank,0,0,,,149
55512,2,5,J9 Lbt,Year,0,2014,,,95
55513,2,5,J9 Lbt,J9 Lbt,0,Gove,,,81
60478,2,5,J58,index,0,0,,,122
60479,2,5,J58,Rank,0,0,,,149
60480,2,5,J58,Year,0,2014,,,95
60481,2,5,J58,J58,0,4.20216012,,,144
65446,2,5,Africa-Chalco Boffa-Guine J 278.Csv,index,0,0,,,122
65447,2,5,Africa-Chalco Boffa-Guine J 278.Csv,Name,0,Chalco Boffa,,,84
65448,2,5,Africa-Chalco Boffa-Guine J 278.Csv,Year,0,2014,,,95
65449,2,5,Africa-Chalco Boffa-Guine J 278.Csv,Africa-Chalco Boffa-Guine J 278.Csv,0,0.0,,,120
70414,2,5,J228,index,0,0,,,122
70415,2,5,J228,Name,0,Chalco Boffa,,,84
70416,2,5,J228,Year,0,2014,,,95
70417,2,5,J228,J228,0,0.0,,,148
75382,2,5,Lbt 327,Name,0,Chalco Boffa,,,84
75383,2,5,Lbt 327,2014,0,0.0,,,103
75384,2,5,Lbt 327,2015,0,0.0,,,110
75385,2,5,Lbt 327,2016,0,0.0,,,91
75386,2,5,Lbt 327,2017,0,0.0,,,93
75387,2,5,Lbt 327,2018,0,1.2408673468593643,,,107
75388,2,5,Lbt 327,2019,0,0.0,,,82
75389,2,5,Lbt 327,2020,0,8.099999999481598,,,100
75390,2,5,Lbt 327,2021,0,10.7999999993088,,,151
75391,2,5,Lbt 327,2022,0,10.7999999993088,,,79
75392,2,5,Lbt 327,2023,0,10.7999999993088,,,147
75393,2,5,Lbt 327,2024,0,10.7999999993088,,,130
75394,2,5,Lbt 327,2025,0,11.999999999232,,,143
75395,2,5,Lbt 327,2026,0,11.999999999232,,,141
75396,2,5,Lbt 327,2027,0,11.999999999232,,,121
75397,2,5,Lbt 327,2028,0,11.999999999232,,,126
75398,2,5,Lbt 327,2029,0,11.999999999232,,,127
75399,2,5,Lbt 327,2030,0,11.999999999232,,,132
75400,2,5,Lbt 327,2031,0,11.999999999232,,,137
75401,2,5,Lbt 327,2032,0,0.0,,,131
75402,2,5,Lbt 327,2033,0,0.0,,,150
75403,2,5,Lbt 327,2034,0,0.0,,,88
75404,2,5,Lbt 327,2035,0,0.0,,,129
75405,2,5,Lbt 327,2036,0,0.0,,,133
75406,2,5,Lbt 327,2037,0,0.0,,,83
75407,2,5,Lbt 327,2038,0,0.0,,,136
75408,2,5,Lbt 327,2039,0,0.0,,,89
75409,2,5,Lbt 327,2040,0,0.0,,,145
76670,2,5,Lbt 394,index,0,0,,,122
76671,2,5,Lbt 394,Name,0,Chalco Boffa,,,84
76672,2,5,Lbt 394,Year,0,2014,,,95
76673,2,5,Lbt 394,Lbt 394,0,0.0,,,105
81638,2,5,Lbt 451,Name,0,Chalco Boffa,,,84
81639,2,5,Lbt 451,2014,0,0.0,,,103
81640,2,5,Lbt 451,2015,0,0.0,,,110
81641,2,5,Lbt 451,2016,0,0.0,,,91
81642,2,5,Lbt 451,2017,0,0.0,,,93
81643,2,5,Lbt 451,2018,0,1.2408673468593643,,,107
81644,2,5,Lbt 451,2019,0,0.0,,,82
81645,2,5,Lbt 451,2020,0,8.099999999481598,,,100
81646,2,5,Lbt 451,2021,0,10.7999999993088,,,151
81647,2,5,Lbt 451,2022,0,10.7999999993088,,,79
81648,2,5,Lbt 451,2023,0,10.7999999993088,,,147
81649,2,5,Lbt 451,2024,0,10.7999999993088,,,130
81650,2,5,Lbt 451,2025,0,11.999999999232,,,143
81651,2,5,Lbt 451,2026,0,11.999999999232,,,141
81652,2,5,Lbt 451,2027,0,11.999999999232,,,121
81653,2,5,Lbt 451,2028,0,11.999999999232,,,126
81654,2,5,Lbt 451,2029,0,11.999999999232,,,127
81655,2,5,Lbt 451,2030,0,11.999999999232,,,132
81656,2,5,Lbt 451,2031,0,11.999999999232,,,137
81657,2,5,Lbt 451,2032,0,0.0,,,131
81658,2,5,Lbt 451,2033,0,0.0,,,150
81659,2,5,Lbt 451,2034,0,0.0,,,88
81660,2,5,Lbt 451,2035,0,0.0,,,129
81661,2,5,Lbt 451,2036,0,0.0,,,133
81662,2,5,Lbt 451,2037,0,0.0,,,83
81663,2,5,Lbt 451,2038,0,0.0,,,136
81664,2,5,Lbt 451,2039,0,0.0,,,89
81665,2,5,Lbt 451,2040,0,0.0,,,145
82926,2,5,J374,level_0,0,0,,,78
82927,2,5,J374,index,0,LBT Total 327 to 372,,,122
82928,2,5,J374,Year,0,2014,,,95
82929,2,5,J374,J374,0,36.43877063187486,,,138
83034,2,5,J 376,Region,0,Africa,,,125
83035,2,5,J 376,Year,0,2014,,,95
83036,2,5,J 376,J 376,0,2.4950211402547913,,,142
83439,2,5,J384,index,0,0,,,122
83440,2,5,J384,Name,0,Overall BAR,,,84
83441,2,5,J384,Year,0,2014,,,95
83442,2,5,J384,J384,0,2.612398878665785,,,139
83547,2,5,Who Is At Margin 255,level_0,0,0,,,78
83548,2,5,Who Is At Margin 255,index,0,0,,,122
83549,2,5,Who Is At Margin 255,Year,0,2014,,,95
83550,2,5,Who Is At Margin 255,Who Is At Margin 255,0, ,,,140
88515,2,5,Engine Main1811,level_0,0,0,,,78
88516,2,5,Engine Main1811,index,0,ChinaDemand,,,122
88517,2,5,Engine Main1811,Year,0,2014,,,95
88518,2,5,Engine Main1811,Engine Main1811,0,9.57216762,,,115
88623,2,5,Engine Main1735,level_0,0,0,,,78
88624,2,5,Engine Main1735,index,0,Weeks Supply Opening,,,122
88625,2,5,Engine Main1735,Year,0,2014,,,95
88626,2,5,Engine Main1735,Engine Main1735,0,44.669985399245704,,,92
88727,2,5,Engine Main1736,level_0,0,0,,,78
88728,2,5,Engine Main1736,index,0,Weeks Supply Closing,,,122
88729,2,5,Engine Main1736,Year,0,2014,,,95
88730,2,5,Engine Main1736,Engine Main1736,0,52.0,,,104
88831,2,5,Engine Main1815 And 1160,level_0,0,0,,,78
88832,2,5,Engine Main1815 And 1160,index,0,CBIX - Marginal Tonne excl. Weiqiao Self Supply,,,122
88833,2,5,Engine Main1815 And 1160,Year,0,2014,,,95
88834,2,5,Engine Main1815 And 1160,Engine Main1815 And 1160,0,39.3854715,,,90
88939,2,5,Engine Main1718,level_0,0,0,,,78
88940,2,5,Engine Main1718,index,0,extra tonnes to get to 39.1 weeks closing stocks,,,122
88941,2,5,Engine Main1718,Year,0,2014,,,95
88942,2,5,Engine Main1718,Engine Main1718,0,0.0,,,102
