country_id,year_id,fxratestomines
country_17,Y_10,1
country_17,Y_11,1
country_17,Y_12,0.911167666
country_17,Y_13,0.939335484
country_17,Y_14,0.914841729
country_17,Y_15,0.870752971
country_17,Y_16,0.887898599
country_17,Y_17,0.887898599
country_17,Y_18,0.887898599
country_17,Y_19,0.887898599
country_17,Y_20,0.887898599
country_17,Y_21,0.887898599
country_17,Y_22,0.887898599
country_17,Y_23,0.887898599
country_17,Y_24,0.887898599
country_17,Y_25,0.887898599
country_17,Y_26,0.887898599
country_17,Y_27,0.887898599
country_16,Y_10,1
country_16,Y_11,1
country_16,Y_12,0.902945415
country_16,Y_13,0.902945415
country_16,Y_14,0.902945415
country_16,Y_15,0.902945415
country_16,Y_16,0.902945415
country_16,Y_17,0.902945415
country_16,Y_18,0.902945415
country_16,Y_19,0.902945415
country_16,Y_20,0.902945415
country_16,Y_21,0.902945415
country_16,Y_22,0.902945415
country_16,Y_23,0.902945415
country_16,Y_24,0.902945415
country_16,Y_25,0.902945415
country_16,Y_26,0.902945415
country_16,Y_27,0.902945415
country_12,Y_10,1
country_12,Y_11,1
country_12,Y_12,0.92
country_12,Y_13,0.92
country_12,Y_14,0.92
country_12,Y_15,0.92
country_12,Y_16,0.92
country_12,Y_17,0.92
country_12,Y_18,0.92
country_12,Y_19,0.92
country_12,Y_20,0.92
country_12,Y_21,0.92
country_12,Y_22,0.92
country_12,Y_23,0.92
country_12,Y_24,0.92
country_12,Y_25,0.92
country_12,Y_26,0.92
country_12,Y_27,0.92
country_4,Y_10,1
country_4,Y_11,1
country_4,Y_12,0.654767442
country_4,Y_13,0.87984375
country_4,Y_14,0.87984375
country_4,Y_15,1.005535714
country_4,Y_16,1.005535714
country_4,Y_17,1.005535714
country_4,Y_18,1.005535714
country_4,Y_19,1.005535714
country_4,Y_20,1.005535714
country_4,Y_21,1.005535714
country_4,Y_22,1.005535714
country_4,Y_23,1.005535714
country_4,Y_24,1.005535714
country_4,Y_25,1.005535714
country_4,Y_26,1.005535714
country_4,Y_27,1.005535714
country_2,Y_10,1
country_2,Y_11,1
country_2,Y_12,0.932723057
country_2,Y_13,0.932723057
country_2,Y_14,0.932723057
country_2,Y_15,0.932723057
country_2,Y_16,0.932723057
country_2,Y_17,0.932723057
country_2,Y_18,0.932723057
country_2,Y_19,0.932723057
country_2,Y_20,0.932723057
country_2,Y_21,0.932723057
country_2,Y_22,0.932723057
country_2,Y_23,0.932723057
country_2,Y_24,0.932723057
country_2,Y_25,0.932723057
country_2,Y_26,0.932723057
country_2,Y_27,0.932723057
country_1,Y_10,1
country_1,Y_11,1
country_1,Y_12,0.931208568
country_1,Y_13,0.914205166
country_1,Y_14,0.901883271
country_1,Y_15,0.901883271
country_1,Y_16,0.901883271
country_1,Y_17,0.901883271
country_1,Y_18,0.901883271
country_1,Y_19,0.901883271
country_1,Y_20,0.901883271
country_1,Y_21,0.901883271
country_1,Y_22,0.901883271
country_1,Y_23,0.901883271
country_1,Y_24,0.901883271
country_1,Y_25,0.901883271
country_1,Y_26,0.901883271
country_1,Y_27,0.901883271
country_44,Y_10,1
country_44,Y_11,1
country_44,Y_12,0.973076923
country_44,Y_13,0.973076923
country_44,Y_14,0.973076923
country_44,Y_15,0.973076923
country_44,Y_16,0.973076923
country_44,Y_17,0.973076923
country_44,Y_18,0.973076923
country_44,Y_19,0.973076923
country_44,Y_20,0.973076923
country_44,Y_21,0.973076923
country_44,Y_22,0.973076923
country_44,Y_23,0.973076923
country_44,Y_24,0.973076923
country_44,Y_25,0.973076923
country_44,Y_26,0.973076923
country_44,Y_27,0.973076923
country_45,Y_10,1
country_45,Y_11,1
country_45,Y_12,0.929462911
country_45,Y_13,0.929462911
country_45,Y_14,0.929462911
country_45,Y_15,0.929462911
country_45,Y_16,0.929462911
country_45,Y_17,0.929462911
country_45,Y_18,0.929462911
country_45,Y_19,0.929462911
country_45,Y_20,0.929462911
country_45,Y_21,0.929462911
country_45,Y_22,0.929462911
country_45,Y_23,0.929462911
country_45,Y_24,0.929462911
country_45,Y_25,0.929462911
country_45,Y_26,0.929462911
country_45,Y_27,0.929462911
country_31,Y_10,1
country_31,Y_11,1
country_31,Y_12,0.918374171
country_31,Y_13,0.918374171
country_31,Y_14,0.918374171
country_31,Y_15,0.918374171
country_31,Y_16,0.918374171
country_31,Y_17,0.918374171
country_31,Y_18,0.918374171
country_31,Y_19,0.918374171
country_31,Y_20,0.918374171
country_31,Y_21,0.918374171
country_31,Y_22,0.918374171
country_31,Y_23,0.918374171
country_31,Y_24,0.918374171
country_31,Y_25,0.918374171
country_31,Y_26,0.918374171
country_31,Y_27,0.918374171
country_25,Y_10,1
country_25,Y_11,1
country_25,Y_12,0.918374171
country_25,Y_13,0.918374171
country_25,Y_14,0.918374171
country_25,Y_15,0.918374171
country_25,Y_16,0.918374171
country_25,Y_17,0.918374171
country_25,Y_18,0.918374171
country_25,Y_19,0.918374171
country_25,Y_20,0.918374171
country_25,Y_21,0.918374171
country_25,Y_22,0.918374171
country_25,Y_23,0.918374171
country_25,Y_24,0.918374171
country_25,Y_25,0.918374171
country_25,Y_26,0.918374171
country_25,Y_27,0.918374171
country_43,Y_10,1
country_43,Y_11,1
country_43,Y_12,0.856259801
country_43,Y_13,0.856259801
country_43,Y_14,0.856259801
country_43,Y_15,0.856259801
country_43,Y_16,0.856259801
country_43,Y_17,0.856259801
country_43,Y_18,0.856259801
country_43,Y_19,0.856259801
country_43,Y_20,0.856259801
country_43,Y_21,0.856259801
country_43,Y_22,0.856259801
country_43,Y_23,0.856259801
country_43,Y_24,0.856259801
country_43,Y_25,0.856259801
country_43,Y_26,0.856259801
country_43,Y_27,0.856259801
country_13,Y_10,1
country_13,Y_11,1
country_13,Y_12,0.918374171
country_13,Y_13,0.918374171
country_13,Y_14,0.918374171
country_13,Y_15,0.918374171
country_13,Y_16,0.918374171
country_13,Y_17,0.918374171
country_13,Y_18,0.918374171
country_13,Y_19,0.918374171
country_13,Y_20,0.918374171
country_13,Y_21,0.918374171
country_13,Y_22,0.918374171
country_13,Y_23,0.918374171
country_13,Y_24,0.918374171
country_13,Y_25,0.918374171
country_13,Y_26,0.918374171
country_13,Y_27,0.918374171
country_46,Y_10,1
country_46,Y_11,1
country_46,Y_12,0.935716139
country_46,Y_13,0.935716139
country_46,Y_14,0.935716139
country_46,Y_15,0.935716139
country_46,Y_16,0.935716139
country_46,Y_17,0.935716139
country_46,Y_18,0.935716139
country_46,Y_19,0.935716139
country_46,Y_20,0.935716139
country_46,Y_21,0.935716139
country_46,Y_22,0.935716139
country_46,Y_23,0.935716139
country_46,Y_24,0.935716139
country_46,Y_25,0.935716139
country_46,Y_26,0.935716139
country_46,Y_27,0.935716139
country_47,Y_10,1
country_47,Y_11,1
country_47,Y_12,1.004854369
country_47,Y_13,1.004854369
country_47,Y_14,1.004854369
country_47,Y_15,1.004854369
country_47,Y_16,1.004854369
country_47,Y_17,1.004854369
country_47,Y_18,1.004854369
country_47,Y_19,1.004854369
country_47,Y_20,1.004854369
country_47,Y_21,1.004854369
country_47,Y_22,1.004854369
country_47,Y_23,1.004854369
country_47,Y_24,1.004854369
country_47,Y_25,1.004854369
country_47,Y_26,1.004854369
country_47,Y_27,1.004854369
country_48,Y_10,1
country_48,Y_11,1
country_48,Y_12,0.917105455
country_48,Y_13,0.917105455
country_48,Y_14,0.917105455
country_48,Y_15,0.917105455
country_48,Y_16,0.917105455
country_48,Y_17,0.917105455
country_48,Y_18,0.917105455
country_48,Y_19,0.917105455
country_48,Y_20,0.917105455
country_48,Y_21,0.917105455
country_48,Y_22,0.917105455
country_48,Y_23,0.917105455
country_48,Y_24,0.917105455
country_48,Y_25,0.917105455
country_48,Y_26,0.917105455
country_48,Y_27,0.917105455
country_24,Y_10,1
country_24,Y_11,1
country_24,Y_12,0.901362464
country_24,Y_13,0.88464781
country_24,Y_14,0.881846379
country_24,Y_15,0.902950267
country_24,Y_16,0.902950267
country_24,Y_17,0.902950267
country_24,Y_18,0.902950267
country_24,Y_19,0.902950267
country_24,Y_20,0.902950267
country_24,Y_21,0.902950267
country_24,Y_22,0.902950267
country_24,Y_23,0.902950267
country_24,Y_24,0.902950267
country_24,Y_25,0.902950267
country_24,Y_26,0.902950267
country_24,Y_27,0.902950267
country_26,Y_10,1
country_26,Y_11,1
country_26,Y_12,0.870631459
country_26,Y_13,0.862356879
country_26,Y_14,0.896093009
country_26,Y_15,0.905728418
country_26,Y_16,0.905728418
country_26,Y_17,0.905728418
country_26,Y_18,0.905728418
country_26,Y_19,0.905728418
country_26,Y_20,0.905728418
country_26,Y_21,0.905728418
country_26,Y_22,0.905728418
country_26,Y_23,0.905728418
country_26,Y_24,0.905728418
country_26,Y_25,0.905728418
country_26,Y_26,0.905728418
country_26,Y_27,0.905728418
country_8,Y_10,1
country_8,Y_11,1
country_8,Y_12,0.947782077
country_8,Y_13,0.947782077
country_8,Y_14,0.947782077
country_8,Y_15,0.947782077
country_8,Y_16,0.947782077
country_8,Y_17,0.947782077
country_8,Y_18,0.947782077
country_8,Y_19,0.947782077
country_8,Y_20,0.947782077
country_8,Y_21,0.947782077
country_8,Y_22,0.947782077
country_8,Y_23,0.947782077
country_8,Y_24,0.947782077
country_8,Y_25,0.947782077
country_8,Y_26,0.947782077
country_8,Y_27,0.947782077
country_49,Y_10,1
country_49,Y_11,1
country_49,Y_12,0.918374171
country_49,Y_13,0.918374171
country_49,Y_14,0.918374171
country_49,Y_15,0.918374171
country_49,Y_16,0.918374171
country_49,Y_17,0.918374171
country_49,Y_18,0.918374171
country_49,Y_19,0.918374171
country_49,Y_20,0.918374171
country_49,Y_21,0.918374171
country_49,Y_22,0.918374171
country_49,Y_23,0.918374171
country_49,Y_24,0.918374171
country_49,Y_25,0.918374171
country_49,Y_26,0.918374171
country_49,Y_27,0.918374171
country_50,Y_10,1
country_50,Y_11,1
country_50,Y_12,0.918374171
country_50,Y_13,0.918374171
country_50,Y_14,0.918374171
country_50,Y_15,0.918374171
country_50,Y_16,0.918374171
country_50,Y_17,0.918374171
country_50,Y_18,0.918374171
country_50,Y_19,0.918374171
country_50,Y_20,0.918374171
country_50,Y_21,0.918374171
country_50,Y_22,0.918374171
country_50,Y_23,0.918374171
country_50,Y_24,0.918374171
country_50,Y_25,0.918374171
country_50,Y_26,0.918374171
country_50,Y_27,0.918374171
country_51,Y_10,1
country_51,Y_11,1
country_51,Y_12,0.954166667
country_51,Y_13,0.954166667
country_51,Y_14,0.954166667
country_51,Y_15,0.954166667
country_51,Y_16,0.954166667
country_51,Y_17,0.954166667
country_51,Y_18,0.954166667
country_51,Y_19,0.954166667
country_51,Y_20,0.954166667
country_51,Y_21,0.954166667
country_51,Y_22,0.954166667
country_51,Y_23,0.954166667
country_51,Y_24,0.954166667
country_51,Y_25,0.954166667
country_51,Y_26,0.954166667
country_51,Y_27,0.954166667
country_52,Y_10,1
country_52,Y_11,1
country_52,Y_12,0.93853857
country_52,Y_13,0.93853857
country_52,Y_14,0.93853857
country_52,Y_15,0.93853857
country_52,Y_16,0.93853857
country_52,Y_17,0.93853857
country_52,Y_18,0.93853857
country_52,Y_19,0.93853857
country_52,Y_20,0.93853857
country_52,Y_21,0.93853857
country_52,Y_22,0.93853857
country_52,Y_23,0.93853857
country_52,Y_24,0.93853857
country_52,Y_25,0.93853857
country_52,Y_26,0.93853857
country_52,Y_27,0.93853857
country_36,Y_10,1
country_36,Y_11,1
country_36,Y_12,0.9
country_36,Y_13,0.9
country_36,Y_14,0.9
country_36,Y_15,0.9
country_36,Y_16,0.9
country_36,Y_17,0.9
country_36,Y_18,0.9
country_36,Y_19,0.9
country_36,Y_20,0.9
country_36,Y_21,0.9
country_36,Y_22,0.9
country_36,Y_23,0.9
country_36,Y_24,0.9
country_36,Y_25,0.9
country_36,Y_26,0.9
country_36,Y_27,0.9
country_37,Y_10,1
country_37,Y_11,0.920882169
country_37,Y_12,0.832377379
country_37,Y_13,0.852160561
country_37,Y_14,0.890798897
country_37,Y_15,0.937376617
country_37,Y_16,0.937376617
country_37,Y_17,0.937376617
country_37,Y_18,0.937376617
country_37,Y_19,0.937376617
country_37,Y_20,0.937376617
country_37,Y_21,0.937376617
country_37,Y_22,0.937376617
country_37,Y_23,0.937376617
country_37,Y_24,0.937376617
country_37,Y_25,0.937376617
country_37,Y_26,0.937376617
country_37,Y_27,0.937376617
country_29,Y_10,1
country_29,Y_11,1
country_29,Y_12,0.918374171
country_29,Y_13,0.918374171
country_29,Y_14,0.918374171
country_29,Y_15,0.918374171
country_29,Y_16,0.918374171
country_29,Y_17,0.918374171
country_29,Y_18,0.918374171
country_29,Y_19,0.918374171
country_29,Y_20,0.918374171
country_29,Y_21,0.918374171
country_29,Y_22,0.918374171
country_29,Y_23,0.918374171
country_29,Y_24,0.918374171
country_29,Y_25,0.918374171
country_29,Y_26,0.918374171
country_29,Y_27,0.918374171
country_53,Y_10,1
country_53,Y_11,1
country_53,Y_12,0.918834417
country_53,Y_13,0.918834417
country_53,Y_14,0.918834417
country_53,Y_15,0.918834417
country_53,Y_16,0.918834417
country_53,Y_17,0.918834417
country_53,Y_18,0.918834417
country_53,Y_19,0.918834417
country_53,Y_20,0.918834417
country_53,Y_21,0.918834417
country_53,Y_22,0.918834417
country_53,Y_23,0.918834417
country_53,Y_24,0.918834417
country_53,Y_25,0.918834417
country_53,Y_26,0.918834417
country_53,Y_27,0.918834417
country_18,Y_10,1
country_18,Y_11,1
country_18,Y_12,0.652114618
country_18,Y_13,0.652114618
country_18,Y_14,0.652114618
country_18,Y_15,0.652114618
country_18,Y_16,0.652114618
country_18,Y_17,0.652114618
country_18,Y_18,0.652114618
country_18,Y_19,0.652114618
country_18,Y_20,0.652114618
country_18,Y_21,0.652114618
country_18,Y_22,0.652114618
country_18,Y_23,0.652114618
country_18,Y_24,0.652114618
country_18,Y_25,0.652114618
country_18,Y_26,0.652114618
country_18,Y_27,0.652114618
country_33,Y_10,1
country_33,Y_11,1
country_33,Y_12,1
country_33,Y_13,1
country_33,Y_14,1
country_33,Y_15,1
country_33,Y_16,1
country_33,Y_17,1
country_33,Y_18,1
country_33,Y_19,1
country_33,Y_20,1
country_33,Y_21,1
country_33,Y_22,1
country_33,Y_23,1
country_33,Y_24,1
country_33,Y_25,1
country_33,Y_26,1
country_33,Y_27,1
country_54,Y_10,1
country_54,Y_11,1
country_54,Y_12,0.994252874
country_54,Y_13,0.994252874
country_54,Y_14,0.994252874
country_54,Y_15,0.994252874
country_54,Y_16,0.994252874
country_54,Y_17,0.994252874
country_54,Y_18,0.994252874
country_54,Y_19,0.994252874
country_54,Y_20,0.994252874
country_54,Y_21,0.994252874
country_54,Y_22,0.994252874
country_54,Y_23,0.994252874
country_54,Y_24,0.994252874
country_54,Y_25,0.994252874
country_54,Y_26,0.994252874
country_54,Y_27,0.994252874
country_55,Y_10,1
country_55,Y_11,1
country_55,Y_12,0.966455696
country_55,Y_13,0.966455696
country_55,Y_14,0.966455696
country_55,Y_15,0.966455696
country_55,Y_16,0.966455696
country_55,Y_17,0.966455696
country_55,Y_18,0.966455696
country_55,Y_19,0.966455696
country_55,Y_20,0.966455696
country_55,Y_21,0.966455696
country_55,Y_22,0.966455696
country_55,Y_23,0.966455696
country_55,Y_24,0.966455696
country_55,Y_25,0.966455696
country_55,Y_26,0.966455696
country_55,Y_27,0.966455696
country_6,Y_10,1
country_6,Y_11,1
country_6,Y_12,0.918374171
country_6,Y_13,0.918374171
country_6,Y_14,0.918374171
country_6,Y_15,0.918374171
country_6,Y_16,0.918374171
country_6,Y_17,0.918374171
country_6,Y_18,0.918374171
country_6,Y_19,0.918374171
country_6,Y_20,0.918374171
country_6,Y_21,0.918374171
country_6,Y_22,0.918374171
country_6,Y_23,0.918374171
country_6,Y_24,0.918374171
country_6,Y_25,0.918374171
country_6,Y_26,0.918374171
country_6,Y_27,0.918374171
country_56,Y_10,1
country_56,Y_11,1
country_56,Y_12,1.000764526
country_56,Y_13,1.000764526
country_56,Y_14,1.000764526
country_56,Y_15,1.000764526
country_56,Y_16,1.000764526
country_56,Y_17,1.000764526
country_56,Y_18,1.000764526
country_56,Y_19,1.000764526
country_56,Y_20,1.000764526
country_56,Y_21,1.000764526
country_56,Y_22,1.000764526
country_56,Y_23,1.000764526
country_56,Y_24,1.000764526
country_56,Y_25,1.000764526
country_56,Y_26,1.000764526
country_56,Y_27,1.000764526
country_23,Y_10,1
country_23,Y_11,1
country_23,Y_12,0.902945415
country_23,Y_13,0.902945415
country_23,Y_14,0.902945415
country_23,Y_15,0.902945415
country_23,Y_16,0.902945415
country_23,Y_17,0.902945415
country_23,Y_18,0.902945415
country_23,Y_19,0.902945415
country_23,Y_20,0.902945415
country_23,Y_21,0.902945415
country_23,Y_22,0.902945415
country_23,Y_23,0.902945415
country_23,Y_24,0.902945415
country_23,Y_25,0.902945415
country_23,Y_26,0.902945415
country_23,Y_27,0.902945415
country_20,Y_10,1
country_20,Y_11,1
country_20,Y_12,0.999999489
country_20,Y_13,0.999999489
country_20,Y_14,0.999999489
country_20,Y_15,0.999999489
country_20,Y_16,0.999999489
country_20,Y_17,0.999999489
country_20,Y_18,0.999999489
country_20,Y_19,0.999999489
country_20,Y_20,0.999999489
country_20,Y_21,0.999999489
country_20,Y_22,0.999999489
country_20,Y_23,0.999999489
country_20,Y_24,0.999999489
country_20,Y_25,0.999999489
country_20,Y_26,0.999999489
country_20,Y_27,0.999999489
country_56,Y_10,1
country_56,Y_11,1
country_56,Y_12,0.766666667
country_56,Y_13,0.766666667
country_56,Y_14,0.766666667
country_56,Y_15,0.766666667
country_56,Y_16,0.766666667
country_56,Y_17,0.766666667
country_56,Y_18,0.766666667
country_56,Y_19,0.766666667
country_56,Y_20,0.766666667
country_56,Y_21,0.766666667
country_56,Y_22,0.766666667
country_56,Y_23,0.766666667
country_56,Y_24,0.766666667
country_56,Y_25,0.766666667
country_56,Y_26,0.766666667
country_56,Y_27,0.766666667
country_19,Y_10,1
country_19,Y_11,1
country_19,Y_12,1
country_19,Y_13,1
country_19,Y_14,1
country_19,Y_15,1
country_19,Y_16,1
country_19,Y_17,1
country_19,Y_18,1
country_19,Y_19,1
country_19,Y_20,1
country_19,Y_21,1
country_19,Y_22,1
country_19,Y_23,1
country_19,Y_24,1
country_19,Y_25,1
country_19,Y_26,1
country_19,Y_27,1
country_5,Y_10,1
country_5,Y_11,1
country_5,Y_12,1
country_5,Y_13,1
country_5,Y_14,1
country_5,Y_15,1
country_5,Y_16,1
country_5,Y_17,1
country_5,Y_18,1
country_5,Y_19,1
country_5,Y_20,1
country_5,Y_21,1
country_5,Y_22,1
country_5,Y_23,1
country_5,Y_24,1
country_5,Y_25,1
country_5,Y_26,1
country_5,Y_27,1
country_57,Y_10,1
country_57,Y_11,1
country_57,Y_12,0.95917676
country_57,Y_13,0.939994783
country_57,Y_14,0.923545098
country_57,Y_15,0.909692734
country_57,Y_16,0.909692734
country_57,Y_17,0.909692734
country_57,Y_18,0.909692734
country_57,Y_19,0.909692734
country_57,Y_20,0.909692734
country_57,Y_21,0.909692734
country_57,Y_22,0.909692734
country_57,Y_23,0.909692734
country_57,Y_24,0.909692734
country_57,Y_25,0.909692734
country_57,Y_26,0.909692734
country_57,Y_27,0.909692734
country_58,Y_10,1
country_58,Y_11,1
country_58,Y_12,0.965895275
country_58,Y_13,0.965895275
country_58,Y_14,0.965895275
country_58,Y_15,0.965895275
country_58,Y_16,0.965895275
country_58,Y_17,0.965895275
country_58,Y_18,0.965895275
country_58,Y_19,0.965895275
country_58,Y_20,0.965895275
country_58,Y_21,0.965895275
country_58,Y_22,0.965895275
country_58,Y_23,0.965895275
country_58,Y_24,0.965895275
country_58,Y_25,0.965895275
country_58,Y_26,0.965895275
country_58,Y_27,0.965895275
